"Licenses on machine (DES-PC) for john adam (desadam) on 13 February 2026"
"Valid Locations","Product Name","Publisher Name","Subtype","Expiration Date","Deposit Date","Type","License Status","License Period","Launch Count","Activation Location","Owner","Activations","Activate By Date","Group Name","Allocated Seats","Total Seats","Activation Status","Publisher License ID",
"iLok (2nd generation and later), your computer","Amp Room Metal Suite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Custom 100W","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","TSAR-1R Reverb","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","DIS","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","British Class A Equalizer","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Trollegater","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Deesser","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Harmonics Analog Saturation Processor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Lion Head","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Kleen 22","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","RMS63","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Chandler Limited Zener Limiter","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Jet Town","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss Deess","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Amp Room Bass Suite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
